danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.798,0.453,7,-5.859,0,0.0972,0.382,0.00276,0.0567,0.61,87.95,audio_features,3Nu0fJTengky63bpIRXWuo,spotify:track:3Nu0fJTengky63bpIRXWuo,https://api.spotify.com/v1/tracks/3Nu0fJTengky63bpIRXWuo,https://api.spotify.com/v1/audio-analysis/3Nu0fJTengky63bpIRXWuo,200353,4
0.294,0.375,6,-10.167,0,0.0445,0.458,0.0117,0.096,0.264,59.546,audio_features,7GIs2L0aUYImiZmBxH812H,spotify:track:7GIs2L0aUYImiZmBxH812H,https://api.spotify.com/v1/tracks/7GIs2L0aUYImiZmBxH812H,https://api.spotify.com/v1/audio-analysis/7GIs2L0aUYImiZmBxH812H,229286,4
0.741,0.495,8,-9.714,1,0.197,0.0708,9.43e-05,0.066,0.41,122.104,audio_features,3ARQfCOIi2Y462Hd0ZXNvX,spotify:track:3ARQfCOIi2Y462Hd0ZXNvX,https://api.spotify.com/v1/tracks/3ARQfCOIi2Y462Hd0ZXNvX,https://api.spotify.com/v1/audio-analysis/3ARQfCOIi2Y462Hd0ZXNvX,283079,4
0.864,0.436,10,-8.023,0,0.0369,0.0253,4.9e-06,0.074,0.189,97.977,audio_features,6FsH5vZImwafhFamQOJJxC,spotify:track:6FsH5vZImwafhFamQOJJxC,https://api.spotify.com/v1/tracks/6FsH5vZImwafhFamQOJJxC,https://api.spotify.com/v1/audio-analysis/6FsH5vZImwafhFamQOJJxC,182847,4
0.786,0.183,5,-9.898,0,0.2,0.913,0.000122,0.147,0.691,91.011,audio_features,7jFbOudqQuRltEVWMguYWc,spotify:track:7jFbOudqQuRltEVWMguYWc,https://api.spotify.com/v1/tracks/7jFbOudqQuRltEVWMguYWc,https://api.spotify.com/v1/audio-analysis/7jFbOudqQuRltEVWMguYWc,140117,4
0.423,0.363,10,-13.813,0,0.0581,0.451,1.72e-05,0.128,0.312,74.009,audio_features,17voyfJZR8HIyYYo59WND1,spotify:track:17voyfJZR8HIyYYo59WND1,https://api.spotify.com/v1/tracks/17voyfJZR8HIyYYo59WND1,https://api.spotify.com/v1/audio-analysis/17voyfJZR8HIyYYo59WND1,225405,4
0.675,0.386,11,-9.524,0,0.119,0.151,0.0148,0.113,0.336,135.954,audio_features,7ezuk947lx4NkZl8HjfP4l,spotify:track:7ezuk947lx4NkZl8HjfP4l,https://api.spotify.com/v1/tracks/7ezuk947lx4NkZl8HjfP4l,https://api.spotify.com/v1/audio-analysis/7ezuk947lx4NkZl8HjfP4l,219488,4
0.822,0.48,5,-8.529,1,0.0499,0.0213,0.546,0.0723,0.782,90.002,audio_features,1f5eDiILUNeftOB26e6LB1,spotify:track:1f5eDiILUNeftOB26e6LB1,https://api.spotify.com/v1/tracks/1f5eDiILUNeftOB26e6LB1,https://api.spotify.com/v1/audio-analysis/1f5eDiILUNeftOB26e6LB1,239000,4
0.647,0.226,5,-12.495,0,0.04,0.748,0.0136,0.119,0.612,180.303,audio_features,2AQzUTNoARvzd42LrWFddf,spotify:track:2AQzUTNoARvzd42LrWFddf,https://api.spotify.com/v1/tracks/2AQzUTNoARvzd42LrWFddf,https://api.spotify.com/v1/audio-analysis/2AQzUTNoARvzd42LrWFddf,191987,3
0.614,0.55,2,-6.493,0,0.0376,0.208,0.000156,0.0412,0.493,154.624,audio_features,6R7LF2nY3kIExm30uiQNya,spotify:track:6R7LF2nY3kIExm30uiQNya,https://api.spotify.com/v1/tracks/6R7LF2nY3kIExm30uiQNya,https://api.spotify.com/v1/audio-analysis/6R7LF2nY3kIExm30uiQNya,298251,4
0.492,0.428,1,-9.595,0,0.204,0.731,0.00193,0.0918,0.326,98.511,audio_features,5KqbsqDW0xgOpZDVxKQPZk,spotify:track:5KqbsqDW0xgOpZDVxKQPZk,https://api.spotify.com/v1/tracks/5KqbsqDW0xgOpZDVxKQPZk,https://api.spotify.com/v1/audio-analysis/5KqbsqDW0xgOpZDVxKQPZk,184889,3
0.794,0.424,2,-8.614,0,0.229,0.677,0.000594,0.314,0.748,100.084,audio_features,4gWnIoKUqnaWuzvGumd2rp,spotify:track:4gWnIoKUqnaWuzvGumd2rp,https://api.spotify.com/v1/tracks/4gWnIoKUqnaWuzvGumd2rp,https://api.spotify.com/v1/audio-analysis/4gWnIoKUqnaWuzvGumd2rp,202368,4
0.644,0.263,8,-10.555,1,0.0781,0.345,0.000267,0.0898,0.242,69.015,audio_features,5FSzjSHdkCFWA35RHbP79n,spotify:track:5FSzjSHdkCFWA35RHbP79n,https://api.spotify.com/v1/tracks/5FSzjSHdkCFWA35RHbP79n,https://api.spotify.com/v1/audio-analysis/5FSzjSHdkCFWA35RHbP79n,231685,4
0.819,0.515,2,-6.417,0,0.156,0.534,0.00238,0.108,0.356,90.019,audio_features,7EnLZko7v0j0ByNir4SNwZ,spotify:track:7EnLZko7v0j0ByNir4SNwZ,https://api.spotify.com/v1/tracks/7EnLZko7v0j0ByNir4SNwZ,https://api.spotify.com/v1/audio-analysis/7EnLZko7v0j0ByNir4SNwZ,195933,4
0.848,0.482,11,-7.028,1,0.0615,0.00535,0.000464,0.109,0.883,145.016,audio_features,5KJLSjvUeYjSIXxhPnA2xD,spotify:track:5KJLSjvUeYjSIXxhPnA2xD,https://api.spotify.com/v1/tracks/5KJLSjvUeYjSIXxhPnA2xD,https://api.spotify.com/v1/audio-analysis/5KJLSjvUeYjSIXxhPnA2xD,187056,4
